Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Aziz, Abdul G.*",LAB,Labour Party,1896,Yes,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Twomey, Dominic A.*",LAB,Labour Party,1757,Yes,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Silverfox, James F.",UKIP,UK Independence Party (UKIP),454,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Kar, Krishan K.",CON,Conservative Party,274,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Pongo, Mampuya M. A.",IND,Independent,226,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Khatun, Monwara",CON,Conservative Party,216,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Mukasa, Isaac",CON,Conservative Party,172,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Mason, Peter S.",TUSC,Trade Unionist and Socialist Coalition,146,,3
E05000032,E09000002,Barking and Dagenham,Gascoigne,"Mason, Ruth G. Ms.",TUSC,Trade Unionist and Socialist Coalition,143,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Bremner, Simon J.*",LAB,Labour Party,1518,Yes,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Freeborn, Irma L. M. Ms.",LAB,Labour Party,1471,Yes,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Quadri, Moin A.",LAB,Labour Party,1290,Yes,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Kiff, Alan A.",UKIP,UK Independence Party (UKIP),1023,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Taylor, Robert M.",BNP,British National Party,469,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Khatun, Nadia Ms.",CON,Conservative Party,236,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Hussain, Sultana A.",CON,Conservative Party,224,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Onochie, Pearle E. Ms.",CON,Conservative Party,189,,3
E05000033,E09000002,Barking and Dagenham,Goresbrook,"Shukura, Nzingha T.",LD,Liberal Democrats,131,,3
E05000034,E09000002,Barking and Dagenham,Heath,"Reason, Linda A. Ms.*",LAB,Labour Party,1603,Yes,3
E05000034,E09000002,Barking and Dagenham,Heath,"Miles, David S.*",LAB,Labour Party,1504,Yes,3
E05000034,E09000002,Barking and Dagenham,Heath,"Young, Daniel",LAB,Labour Party,1380,Yes,3
E05000034,E09000002,Barking and Dagenham,Heath,"Harnett, Connor R.",UKIP,UK Independence Party (UKIP),1021,,3
E05000034,E09000002,Barking and Dagenham,Heath,"Miah, Faruk",CON,Conservative Party,338,,3
E05000034,E09000002,Barking and Dagenham,Heath,"Koranteng, Janet L. Ms.",LD,Liberal Democrats,210,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Gill, *",LAB,Labour Party,2288,Yes,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Ahammad, Syed*",LAB,Labour Party,1998,Yes,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Rice, Lynda Ms.*",LAB,Labour Party,1752,Yes,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Rahman, Shahidur",CON,Conservative Party,856,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Tahir, Rumana Y.",UKIP,UK Independence Party (UKIP),623,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Lewis, Glyn",CON,Conservative Party,485,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Semitego, Richard",CON,Conservative Party,401,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Tooley, Lorna J. Ms.",GRE,Green Party,283,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Uddin, Mohammod J.",LD,Liberal Democrats,275,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Vincent, Gerald M.",SLP,Socialist Labour Party,272,,3
E05000035,E09000002,Barking and Dagenham,Longbridge,"Baig, Shaheryaar",IND,Independent,270,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Smith, Danielle J. Ms.",LAB,Labour Party,1217,Yes,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Haroon, Kashif",LAB,Labour Party,1105,Yes,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Oluwole, Adegboyega O.",LAB,Labour Party,1073,Yes,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Hunt, Dorothy M.*",UKIP,UK Independence Party (UKIP),1061,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Rablen, Antony F.",GRE,Green Party,353,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"De Santis, Giuseppe",BNP,British National Party,280,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Begum, Sufia",CON,Conservative Party,252,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Rahman, Md. F.",CON,Conservative Party,196,,3
E05000036,E09000002,Barking and Dagenham,Mayesbrook,"Shahjahan, Ahmed",CON,Conservative Party,166,,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Rice, Christopher D.*",LAB,Labour Party,1317,Yes,3
E05000037,E09000002,Barking and Dagenham,Parsloes,"Kangethe, Elizabeth W. Ms.*",LAB,Labour Party,1252,Yes,3
