Ward_code,Borough_code,Borough_name,Ward_name,candidate,party,party_long,number_votes,elected_flag,Number of councillors in ward
E05000208,E09000010,Enfield,Southgate,"Cranfield, Ingrid",LAB,Labour Party,1529,,3
E05000208,E09000010,Enfield,Southgate,"Constantinides, Andreas",LAB,Labour Party,1429,,3
E05000208,E09000010,Enfield,Southgate,"Ibrahim, Tahsin",LAB,Labour Party,1319,,3
E05000208,E09000010,Enfield,Southgate,"Krakowiak, Peter",GRE,Green Party,640,,3
E05000208,E09000010,Enfield,Southgate,"Stainer, Alan I.",LD,Liberal Democrats,403,,3
E05000209,E09000010,Enfield,Southgate Green,"Anderson, Daniel H.",LAB,Labour Party,1810,Yes,3
E05000209,E09000010,Enfield,Southgate Green,"Stewart, Claire L. Ms.",LAB,Labour Party,1678,Yes,3
E05000209,E09000010,Enfield,Southgate Green,"Georgiou, Alessandro",CON,Conservative Party,1635,Yes,3
E05000209,E09000010,Enfield,Southgate Green,"Sadegh-Zadeh, Rasheed",LAB,Labour Party,1433,,3
E05000209,E09000010,Enfield,Southgate Green,"Kaye, Jon",CON,Conservative Party,1389,,3
E05000209,E09000010,Enfield,Southgate Green,"Yurtseven, Murat",CON,Conservative Party,1257,,3
E05000209,E09000010,Enfield,Southgate Green,"Clark, Fred",GRE,Green Party,601,,3
E05000209,E09000010,Enfield,Southgate Green,"Hughes, David L.",GRE,Green Party,471,,3
E05000209,E09000010,Enfield,Southgate Green,"James, Mark L.",UKIP,UK Independence Party (UKIP),400,,3
E05000209,E09000010,Enfield,Southgate Green,"Stainer, Lorice",LD,Liberal Democrats,333,,3
E05000209,E09000010,Enfield,Southgate Green,"Maybin, Lee N.",TUSC,Trade Unionist and Socialist Coalition,50,,3
E05000209,E09000010,Enfield,Southgate Green,"O'Hanlon, Dean M.",TUSC,Trade Unionist and Socialist Coalition,37,,3
E05000209,E09000010,Enfield,Southgate Green,"Stack, John M.",TUSC,Trade Unionist and Socialist Coalition,36,,3
E05000210,E09000010,Enfield,Town,"Laban, Joanne Ms.*",CON,Conservative Party,2121,Yes,3
E05000210,E09000010,Enfield,Town,"Rye, Michael*",CON,Conservative Party,2098,Yes,3
E05000210,E09000010,Enfield,Town,"Steven, Jim",CON,Conservative Party,1925,Yes,3
E05000210,E09000010,Enfield,Town,"Bearryman, Caitriona Ms.",LAB,Labour Party,1485,,3
E05000210,E09000010,Enfield,Town,"Hamilton, Ian W.",LAB,Labour Party,1446,,3
E05000210,E09000010,Enfield,Town,"Murphy, Chris",LAB,Labour Party,1186,,3
E05000210,E09000010,Enfield,Town,"Henwood, William G.",UKIP,UK Independence Party (UKIP),810,,3
E05000210,E09000010,Enfield,Town,"Price, Bill",UKIP,UK Independence Party (UKIP),753,,3
E05000210,E09000010,Enfield,Town,"Mcgregor, Kieran T.",PNP,Patients not Profits,735,,3
E05000210,E09000010,Enfield,Town,"Malin, Andreea Ms.",GRE,Green Party,724,,3
E05000211,E09000010,Enfield,Turkey Street,"Chibah, Katherine E. Ms.",LAB,Labour Party,1925,Yes,3
E05000211,E09000010,Enfield,Turkey Street,"Simon, Toby",LAB,Labour Party,1819,Yes,3
E05000211,E09000010,Enfield,Turkey Street,"Lemonides, Dino",LAB,Labour Party,1736,Yes,3
E05000211,E09000010,Enfield,Turkey Street,"Lawson, Yvonne Ms.",CON,Conservative Party,848,,3
E05000211,E09000010,Enfield,Turkey Street,"Robbens, Gary A.",UKIP,UK Independence Party (UKIP),805,,3
E05000211,E09000010,Enfield,Turkey Street,"Reynolds, Richard A.",CON,Conservative Party,769,,3
E05000211,E09000010,Enfield,Turkey Street,"Scholfield, Karl",CON,Conservative Party,740,,3
E05000211,E09000010,Enfield,Turkey Street,"Douglas, Elizabeth R. Ms.",GRE,Green Party,380,,3
E05000211,E09000010,Enfield,Turkey Street,"Jewell, Rick J.",IND,Independent,328,,3
E05000211,E09000010,Enfield,Turkey Street,"Squire, Stephen K.",BNP,British National Party,278,,3
E05000212,E09000010,Enfield,Upper Edmonton,"Ekechi, Patricia Ms.",LAB,Labour Party,2632,Yes,3
E05000212,E09000010,Enfield,Upper Edmonton,"Bakir, Ali",LAB,Labour Party,2589,Yes,3
E05000212,E09000010,Enfield,Upper Edmonton,"Jiagge, Doris A. M. Ms.",LAB,Labour Party,2430,Yes,3
E05000212,E09000010,Enfield,Upper Edmonton,"Zihni, Niyazi",CON,Conservative Party,573,,3
E05000212,E09000010,Enfield,Upper Edmonton,"Hussein, Mel Ms.",CON,Conservative Party,569,,3
E05000212,E09000010,Enfield,Upper Edmonton,"Noyan, Metin",CON,Conservative Party,563,,3
E05000212,E09000010,Enfield,Upper Edmonton,"Ainsworth, Richard",GRE,Green Party,560,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Hayward, Elaine Ms.*",CON,Conservative Party,1494,Yes,3
E05000213,E09000010,Enfield,Winchmore Hill,"Hurer, Ertan*",CON,Conservative Party,1461,Yes,3
E05000213,E09000010,Enfield,Winchmore Hill,"Barry, Dinah",LAB,Labour Party,1267,Yes,3
E05000213,E09000010,Enfield,Winchmore Hill,"Cleary, Anthony",LAB,Labour Party,1259,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Zavros, Maria Ms.",CON,Conservative Party,1225,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Tilki, Hakki S.",LAB,Labour Party,909,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Phillips, Alison C. Ms.",GRE,Green Party,574,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Linton, Bill",GRE,Green Party,555,,3
E05000213,E09000010,Enfield,Winchmore Hill,"James, Roger K.",UKIP,UK Independence Party (UKIP),511,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Robertson-Molloy, Jean Ms.",GRE,Green Party,434,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Osman, Helen Ms.",IND,Independent,425,,3
E05000213,E09000010,Enfield,Winchmore Hill,"Edwards, Joe",LD,Liberal Democrats,311,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Hyland, Denise C. Ms.*",LAB,Labour Party,2058,Yes,3
E05000214,E09000011,Greenwich,Abbey Wood,"Mardner, Clive B.*",LAB,Labour Party,2031,Yes,3
E05000214,E09000011,Greenwich,Abbey Wood,"Offord, Steve*",LAB,Labour Party,1810,Yes,3
E05000214,E09000011,Greenwich,Abbey Wood,"Glenister, Michael E.",UKIP,UK Independence Party (UKIP),978,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Briody, Gerard P.",GRE,Green Party,486,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Brinkhurst, Graham K.",CON,Conservative Party,436,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Couper, Barbara A. Ms.",CON,Conservative Party,390,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Salmon, Frank",CON,Conservative Party,311,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Headon, Tom",LD,Liberal Democrats,246,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Bryceland, Mark",LD,Liberal Democrats,241,,3
E05000214,E09000011,Greenwich,Abbey Wood,"Iriajen, Samson A.",LD,Liberal Democrats,169,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Parker, Cherry Ms.",LAB,Labour Party,2185,Yes,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Morrissey, Paul R.",LAB,Labour Party,2028,Yes,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Brighty, Geoff*",CON,Conservative Party,1797,Yes,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Welfare, Damien F. J.",LAB,Labour Party,1725,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Turrell, Thomas",CON,Conservative Party,1518,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Tabrizi, Laela P. Ms.",CON,Conservative Party,1459,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Allman, Trevor W.",GRE,Green Party,1098,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"O'Keefe, Michael J.",LD,Liberal Democrats,477,,3
E05000215,E09000011,Greenwich,Blackheath Westcombe,"Coppack, Lee",LD,Liberal Democrats,458,,3
E05000216,E09000011,Greenwich,Charlton,"Maccarthy, Allan J. H. D.*",LAB,Labour Party,2193,Yes,3
E05000216,E09000011,Greenwich,Charlton,"Williams, Miranda L. Ms.",LAB,Labour Party,2112,Yes,3
E05000216,E09000011,Greenwich,Charlton,"Parker, Gary*",LAB,Labour Party,1890,Yes,3
E05000216,E09000011,Greenwich,Charlton,"Wheeler, Jack",GRE,Green Party,798,,3
E05000216,E09000011,Greenwich,Charlton,"Port, Gary R.",UKIP,UK Independence Party (UKIP),664,,3
E05000216,E09000011,Greenwich,Charlton,"Averley, Della Ms.",CON,Conservative Party,589,,3
E05000216,E09000011,Greenwich,Charlton,"Worron, James",CON,Conservative Party,497,,3
E05000216,E09000011,Greenwich,Charlton,"Rodrigues-Hale, Miki",CON,Conservative Party,441,,3
E05000216,E09000011,Greenwich,Charlton,"Chapman, Paul M.",LD,Liberal Democrats,395,,3
E05000216,E09000011,Greenwich,Charlton,"Gerrard, Ian J.",LD,Liberal Democrats,318,,3
E05000216,E09000011,Greenwich,Charlton,"Mbogga, Richard",LD,Liberal Democrats,195,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Hills, John*",CON,Conservative Party,1739,Yes,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Brinkhurst, Mandy Ms.*",CON,Conservative Party,1636,Yes,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Hartley, Matt",CON,Conservative Party,1501,Yes,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Whittle, Peter R.",UKIP,UK Independence Party (UKIP),1137,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Carr, Robert",LAB,Labour Party,1112,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Bauer, Sandra E. Ms.",LAB,Labour Party,1108,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Slater, John M.",LAB,Labour Party,1016,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Adams, Clifford B.",BNP,British National Party,401,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Sharman, David T.",GRE,Green Party,398,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Lewis, Emma L. Ms.",LD,Liberal Democrats,180,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Gentry, Paul G.",LD,Liberal Democrats,158,,3
E05000217,E09000011,Greenwich,Coldharbour and New Eltham,"Lewis, Michael J.",LD,Liberal Democrats,125,,3
E05000218,E09000011,Greenwich,Eltham North,"Drury, Spencer*",CON,Conservative Party,1975,Yes,3
E05000218,E09000011,Greenwich,Eltham North,"Bird, Linda Ms.",LAB,Labour Party,1946,Yes,3
E05000218,E09000011,Greenwich,Eltham North,"Davies, Wynn",LAB,Labour Party,1942,Yes,3
E05000218,E09000011,Greenwich,Eltham North,"Fletcher, Nigel*",CON,Conservative Party,1823,,3
E05000218,E09000011,Greenwich,Eltham North,"Peirce, Simon W.",LAB,Labour Party,1556,,3
E05000218,E09000011,Greenwich,Eltham North,"Thomas, Adam",CON,Conservative Party,1519,,3
E05000218,E09000011,Greenwich,Eltham North,"Butler, Paul S.",UKIP,UK Independence Party (UKIP),1221,,3
E05000218,E09000011,Greenwich,Eltham North,"Stead, Rob",GRE,Green Party,591,,3
E05000218,E09000011,Greenwich,Eltham North,"Nicholls, Yvonne Ms.",LD,Liberal Democrats,207,,3
E05000218,E09000011,Greenwich,Eltham North,"Early, Patrick",LD,Liberal Democrats,205,,3
E05000219,E09000011,Greenwich,Eltham South,"Clare, Matt*",CON,Conservative Party,1394,Yes,3
E05000219,E09000011,Greenwich,Eltham South,"Elliott, Mark S.",CON,Conservative Party,1298,Yes,3
E05000219,E09000011,Greenwich,Eltham South,"Geary, Nuala Ms.",CON,Conservative Party,1183,Yes,3
E05000219,E09000011,Greenwich,Eltham South,"Christie, Simon J.",LAB,Labour Party,1115,,3
E05000219,E09000011,Greenwich,Eltham South,"Evans, John R.",UKIP,UK Independence Party (UKIP),1069,,3
E05000219,E09000011,Greenwich,Eltham South,"Galloway, John D.",LAB,Labour Party,1016,,3
E05000219,E09000011,Greenwich,Eltham South,"Sekhon, Jagir K. Ms.",LAB,Labour Party,839,,3
E05000219,E09000011,Greenwich,Eltham South,"Glover, Eileen W. Ms.*",IND,Independent,440,,3
E05000219,E09000011,Greenwich,Eltham South,"Turner, David W.",GRE,Green Party,402,,3
E05000219,E09000011,Greenwich,Eltham South,"Woods, Roberta F. L. Ms.",BNP,British National Party,307,,3
E05000219,E09000011,Greenwich,Eltham South,"Peete, Thelma G. Ms.",BNP,British National Party,248,,3
E05000219,E09000011,Greenwich,Eltham South,"Chuter, Michael D.",LD,Liberal Democrats,208,,3
E05000219,E09000011,Greenwich,Eltham South,"Cox, Eileen J. Ms.",LD,Liberal Democrats,206,,3
E05000219,E09000011,Greenwich,Eltham South,"Pattenden, Mark S.",LD,Liberal Democrats,181,,3
E05000220,E09000011,Greenwich,Eltham West,"Hayes, Mick*",LAB,Labour Party,1479,Yes,3
E05000220,E09000011,Greenwich,Eltham West,"Freeman, Bill*",LAB,Labour Party,1453,Yes,3
E05000220,E09000011,Greenwich,Eltham West,"Walker, Ray*",LAB,Labour Party,1283,Yes,3
E05000220,E09000011,Greenwich,Eltham West,"Acty, Ryan M. J.",UKIP,UK Independence Party (UKIP),856,,3
E05000220,E09000011,Greenwich,Eltham West,"Davis, Charles",CON,Conservative Party,452,,3
E05000220,E09000011,Greenwich,Eltham West,"Nichols, John",CON,Conservative Party,451,,3
E05000220,E09000011,Greenwich,Eltham West,"Stevenson, Mark",GRE,Green Party,377,,3
E05000220,E09000011,Greenwich,Eltham West,"Shipp, James",CON,Conservative Party,353,,3
E05000220,E09000011,Greenwich,Eltham West,"Ramsey, Paul",BNP,British National Party,314,,3
E05000220,E09000011,Greenwich,Eltham West,"Potter, Harry D.",LD,Liberal Democrats,158,,3
E05000220,E09000011,Greenwich,Eltham West,"Shubert, Lester E.",LD,Liberal Democrats,145,,3
E05000221,E09000011,Greenwich,Glyndon,"Austen, Donald J.*",LAB,Labour Party,2212,Yes,3
E05000221,E09000011,Greenwich,Glyndon,"Brooks, Peter J.",LAB,Labour Party,2064,Yes,3
E05000221,E09000011,Greenwich,Glyndon,"Rabadia, Radha* Ms.",LAB,Labour Party,1995,Yes,3
E05000221,E09000011,Greenwich,Glyndon,"Wilson, Janine Ms.",GRE,Green Party,568,,3
E05000221,E09000011,Greenwich,Glyndon,"Lee, Gillian Ms.",CON,Conservative Party,494,,3
E05000221,E09000011,Greenwich,Glyndon,"Patel, Bhaval U.",CON,Conservative Party,440,,3
E05000221,E09000011,Greenwich,Glyndon,"Stirling, Sheila J. Ms.",CON,Conservative Party,416,,3
E05000221,E09000011,Greenwich,Glyndon,"Chamberlain, Lynne C. Ms.",TUSC,Trade Unionist and Socialist Coalition,359,,3
E05000221,E09000011,Greenwich,Glyndon,"Stringer, Sian Ms.",TUSC,Trade Unionist and Socialist Coalition,285,,3
E05000221,E09000011,Greenwich,Glyndon,"Heap, Jo",LD,Liberal Democrats,238,,3
E05000221,E09000011,Greenwich,Glyndon,"Kasab, Sara M. C. Ms.",TUSC,Trade Unionist and Socialist Coalition,212,,3
E05000221,E09000011,Greenwich,Glyndon,"Ottery, Edward",LD,Liberal Democrats,150,,3
E05000221,E09000011,Greenwich,Glyndon,"Nabukeera-Mbogga, Eva Ms.",LD,Liberal Democrats,127,,3
E05000222,E09000011,Greenwich,Greenwich West,"O'Mara, Maureen Ms.*",LAB,Labour Party,2665,Yes,3
E05000222,E09000011,Greenwich,Greenwich West,"Pennycook, Matthew T.*",LAB,Labour Party,2448,Yes,3
E05000222,E09000011,Greenwich,Greenwich West,"Smith, Aidan M. A.",LAB,Labour Party,2159,Yes,3
E05000222,E09000011,Greenwich,Greenwich West,"Stott, Robin B.",GRE,Green Party,1108,,3
E05000222,E09000011,Greenwich,Greenwich West,"Gillard, Patricia Ms.",CON,Conservative Party,977,,3
E05000222,E09000011,Greenwich,Greenwich West,"Corstorphine, Andrew",CON,Conservative Party,905,,3
E05000222,E09000011,Greenwich,Greenwich West,"Mclean-Wait, Louis",CON,Conservative Party,824,,3
E05000222,E09000011,Greenwich,Greenwich West,"Miller, Suzanne J. Ms.",LD,Liberal Democrats,557,,3
E05000222,E09000011,Greenwich,Greenwich West,"Smith, Andrew C.",LD,Liberal Democrats,497,,3
E05000222,E09000011,Greenwich,Greenwich West,"Rotchell, Mark E.",LD,Liberal Democrats,438,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Adams, Norman R.*",LAB,Labour Party,1770,Yes,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Grice, Christine Ms.",LAB,Labour Party,1686,Yes,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Stanley, David C.",LAB,Labour Party,1495,Yes,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Ray, Barbara V. Ms.",UKIP,UK Independence Party (UKIP),949,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Hale, Toni",CON,Conservative Party,773,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Emmanuel, Gold",CON,Conservative Party,721,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Hayles, Arthur L.",GRE,Green Party,590,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Serroukh, Semo",CON,Conservative Party,541,,3
E05000223,E09000011,Greenwich,Kidbrooke with Hornfair,"Hunter, Frances Y. Ms.",LD,Liberal Democrats,301,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"May, Christine E. Ms.*",LAB,Labour Party,1709,Yes,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"James, Mark S.*",LAB,Labour Party,1658,Yes,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Morris, Clare C. Ms.*",LAB,Labour Party,1624,Yes,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Drury, Elizabeth Ms.",CON,Conservative Party,1026,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Adams, Raymond",UKIP,UK Independence Party (UKIP),913,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Goss, David",CON,Conservative Party,886,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Mawji, Ben",CON,Conservative Party,781,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Brand, Roger P.",GRE,Green Party,568,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Green, Mary C. Ms.",LD,Liberal Democrats,366,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Beaumont, David J.",LD,Liberal Democrats,343,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Scanlon, Nick",BNP,British National Party,313,,3
E05000224,E09000011,Greenwich,Middle Park and Sutcliffe,"Webbewood, Paul",LD,Liberal Democrats,273,,3
E05000225,E09000011,Greenwich,Peninsula,"Brain, Stephen A.",LAB,Labour Party,1926,Yes,3
E05000225,E09000011,Greenwich,Peninsula,"Scott-Mcdonald, Denise Ms.",LAB,Labour Party,1771,Yes,3
E05000225,E09000011,Greenwich,Peninsula,"Lloyd, Chris",LAB,Labour Party,1614,Yes,3
E05000225,E09000011,Greenwich,Peninsula,"King, Jan E. Ms.",GRE,Green Party,789,,3
E05000225,E09000011,Greenwich,Peninsula,"Connolly, Philip J.",GRE,Green Party,757,,3
E05000225,E09000011,Greenwich,Peninsula,"Methley, Harry",CON,Conservative Party,749,,3
E05000225,E09000011,Greenwich,Peninsula,"Mann, Maya Ms.",CON,Conservative Party,730,,3
E05000225,E09000011,Greenwich,Peninsula,"Tweddell, Piers",CON,Conservative Party,665,,3
E05000225,E09000011,Greenwich,Peninsula,"Wilson, Tim",GRE,Green Party,609,,3
E05000225,E09000011,Greenwich,Peninsula,"Radcliffe, Gillian Ms.",UKIP,UK Independence Party (UKIP),540,,3
E05000225,E09000011,Greenwich,Peninsula,"Brand, Christopher",LD,Liberal Democrats,296,,3
E05000225,E09000011,Greenwich,Peninsula,"Durham, Anthony C. H.",LD,Liberal Democrats,219,,3
E05000225,E09000011,Greenwich,Peninsula,"Mcfarlane, George N.",LD,Liberal Democrats,205,,3
E05000225,E09000011,Greenwich,Peninsula,"Wheeler, Terry A.",IND,Independent,177,,3
E05000226,E09000011,Greenwich,Plumstead,"Cornforth, Angela J. Ms.*",LAB,Labour Party,2441,Yes,3
E05000226,E09000011,Greenwich,Plumstead,"Morrow, Matthew*",LAB,Labour Party,2033,Yes,3
E05000226,E09000011,Greenwich,Plumstead,"Sehmar, Rajinder",LAB,Labour Party,1850,Yes,3
E05000226,E09000011,Greenwich,Plumstead,"Johnson, Ronie D.",UKIP,UK Independence Party (UKIP),924,,3
E05000226,E09000011,Greenwich,Plumstead,"Lawbuary, Jo",GRE,Green Party,522,,3
E05000226,E09000011,Greenwich,Plumstead,"Frost, Sheila J. Ms.",CON,Conservative Party,421,,3
E05000226,E09000011,Greenwich,Plumstead,"Riley, Martin S.",CON,Conservative Party,408,,3
E05000226,E09000011,Greenwich,Plumstead,"Robinson, Gemma Ms.",CON,Conservative Party,371,,3
E05000226,E09000011,Greenwich,Plumstead,"Derrick-Reeve, Sylvia G. Ms.",LD,Liberal Democrats,336,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Merrill, Sarah J. Ms.",LAB,Labour Party,2027,Yes,3
E05000227,E09000011,Greenwich,Shooters Hill,"Kirby, Christopher C. A.",LAB,Labour Party,1940,Yes,3
E05000227,E09000011,Greenwich,Shooters Hill,"Thorpe, Danny L.*",LAB,Labour Party,1894,Yes,3
E05000227,E09000011,Greenwich,Shooters Hill,"Price, Les",UKIP,UK Independence Party (UKIP),933,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Burgess, Mo Ms.",CON,Conservative Party,820,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Westcombe, Michael D.",GRE,Green Party,716,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Greenwell, Pat",CON,Conservative Party,684,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Tiwari, Amit",CON,Conservative Party,482,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Christie, Stewart C.",LD,Liberal Democrats,390,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Austin, Anthony P.",LD,Liberal Democrats,269,,3
E05000227,E09000011,Greenwich,Shooters Hill,"Soanes, Bonnie C.",LD,Liberal Democrats,249,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Babatola, Olu",LAB,Labour Party,2201,Yes,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Lekau, Averil A. Ms.",LAB,Labour Party,1991,Yes,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"James, Sizwe",LAB,Labour Party,1931,Yes,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Brinson, David",CON,Conservative Party,555,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Solola, Femi",IND,Independent,546,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Ralph, Thomas",CON,Conservative Party,475,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Haroutunian, Susan Ms.",GRE,Green Party,427,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Mcewen, Freda Ms.",IND,Independent,348,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"West, Paul J.",LD,Liberal Democrats,341,,3
E05000228,E09000011,Greenwich,Thamesmead Moorings,"Stannard, Alka",CON,Conservative Party,333,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Gardner, David L.",LAB,Labour Party,2289,Yes,3
E05000229,E09000011,Greenwich,Woolwich Common,"Singh, Harry*",LAB,Labour Party,2208,Yes,3
E05000229,E09000011,Greenwich,Woolwich Common,"Hisbani, Ambreen",LAB,Labour Party,2048,Yes,3
E05000229,E09000011,Greenwich,Woolwich Common,"Roy, Purnendu",GRE,Green Party,469,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Warwicker, David A.",UKIP,UK Independence Party (UKIP),467,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Hills, Patricia A. Ms.",CON,Conservative Party,350,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Jones, Jennifer F. Ms.*",CON,Conservative Party,336,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Wainwright, Janet Ms.",CON,Conservative Party,269,,3
E05000229,E09000011,Greenwich,Woolwich Common,"Gwizdala, Peter",LD,Liberal Democrats,238,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Barwick, Barbara E. Ms.*",LAB,Labour Party,2426,Yes,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Smith, Jackie A. Ms.",LAB,Labour Party,2215,Yes,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Fahy, John*",LAB,Labour Party,2162,Yes,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Angas, Elizabeth M. Ms.",GRE,Green Party,652,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Gill, John E.",UKIP,UK Independence Party (UKIP),621,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Davidson, Michael",CON,Conservative Party,612,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Couper, David A.",CON,Conservative Party,514,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Diallo, Abdoulaye",CON,Conservative Party,419,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Clarke, Rachael Ms.",LD,Liberal Democrats,307,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Hooker, Sally R. Ms.",LD,Liberal Democrats,263,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Yusuf, Hamsa",IND,Independent,203,,3
E05000230,E09000011,Greenwich,Woolwich Riverside,"Horrox, Matthew J. B. B.",LD,Liberal Democrats,177,,3
E05009367,E09000012,Hackney,Brownswood,"Potter, Clare Ms.",LAB,Labour Party,1335,Yes,2
E05009367,E09000012,Hackney,Brownswood,"Bell, Brian*",LAB,Labour Party,1287,Yes,2
E05009367,E09000012,Hackney,Brownswood,"Butler, Sam",GRE,Green Party,562,,2
E05009367,E09000012,Hackney,Brownswood,"Lang, Peter",GRE,Green Party,484,,2
E05009367,E09000012,Hackney,Brownswood,"Aussenberg, Bella Ms.",CON,Conservative Party,229,,2
E05009367,E09000012,Hackney,Brownswood,"White, Andrew G.",CON,Conservative Party,226,,2
E05009367,E09000012,Hackney,Brownswood,"Leigh, Dominic",LD,Liberal Democrats,195,,2
E05009367,E09000012,Hackney,Brownswood,"Sharer, Bella Ms.",LD,Liberal Democrats,171,,2
E05009367,E09000012,Hackney,Brownswood,"Rubens, Thomas A.",TUSC,Trade Unionist and Socialist Coalition,104,,2
E05009368,E09000012,Hackney,Cazenove,"Jacobson, Abraham*",LD,Liberal Democrats,1731,Yes,3
E05009368,E09000012,Hackney,Cazenove,"Akhoon, Dawood E.*",LD,Liberal Democrats,1715,Yes,3
E05009368,E09000012,Hackney,Cazenove,"Sharer, Ian D.*",LD,Liberal Democrats,1709,Yes,3
E05009368,E09000012,Hackney,Cazenove,"Adeolu-David, Kofo",LAB,Labour Party,1688,,3
E05009368,E09000012,Hackney,Cazenove,"Smyth, Gilbert",LAB,Labour Party,1602,,3
E05009368,E09000012,Hackney,Cazenove,"Burn, Matthew",LAB,Labour Party,1593,,3
E05009368,E09000012,Hackney,Cazenove,"Borris, Mischa Ms.",GRE,Green Party,744,,3
